"키워드(2026.06.01.~2026.06.30.),2439317",,,,,,,,,
일별,시간대별,캠페인,키워드,PC/모바일 매체,노출수,클릭수,클릭률(%),평균 CPC,총비용
2026.06.04.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,16,0,0,0,0
2026.06.05.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,9,0,0,0,0
2026.06.08.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,8,0,0,0,0
2026.06.09.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,10,0,0,0,0
2026.06.10.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,7,0,0,0,0
2026.06.11.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,14,0,0,0,0
2026.06.12.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,8,0,0,0,0
2026.06.15.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,7,0,0,0,0
2026.06.16.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,19,0,0,0,0
2026.06.17.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,8,0,0,0,0
2026.06.19.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,16,0,0,0,0
2026.06.22.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,7,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,26,0,0,0,0
2026.06.24.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,12,1,8.33,16874,16874
2026.06.25.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,18,1,5.56,22131,22131
2026.06.26.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,15,0,0,0,0
2026.06.29.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,7,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생신청자격,모바일,15,0,0,0,0
2026.06.12.,00시~01시,개인회생_에이스,개인회생연체,PC,1,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생연체,모바일,1,0,0,0,0
2026.06.17.,00시~01시,개인회생_에이스,개인회생자격,PC,6,1,16.67,21114,21114
2026.06.23.,00시~01시,개인회생_에이스,개인회생자격,PC,1,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생자격,모바일,3,0,0,0,0
2026.06.05.,00시~01시,개인회생_에이스,개인회생자격,모바일,1,0,0,0,0
2026.06.08.,00시~01시,개인회생_에이스,개인회생자격,모바일,1,0,0,0,0
2026.06.09.,00시~01시,개인회생_에이스,개인회생자격,모바일,2,0,0,0,0
2026.06.15.,00시~01시,개인회생_에이스,개인회생자격,모바일,1,0,0,0,0
2026.06.29.,00시~01시,개인회생_에이스,개인회생자격,모바일,2,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생자격,모바일,1,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생자격조건,PC,1,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생자격조건,모바일,1,0,0,0,0
